year,date,crew,site,reach,transect.num,habitat.type,habitat.length,dist.from.trans,direction.us.ds,river.side.L.R,bank.w pre add,bank.w,wetted.edge pre add,wetted.edge,wetted.w,distance pre add,distance m,depth,velocity,F,SG,LG,SC,LC,B,R,comments
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,1.2,1.2,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,2.2,2.2,0.32,0.54,15,30,30,25,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,3.3,3.3,0.42,0.56,5,50,30,15,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,4.2,4.2,0.34,0.76,5,40,50,5,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,5.2,5.2,0.3,0.72,5,40,50,5,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,6.2,6.2,0.22,0.42,5,40,50,5,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,7.2,7.2,0.06,0.08,5,40,50,5,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,1,glide,32.99,43.14,us,right,17.4,17.4,1.2,1.2,7,8.2,8.2,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,3.6,3.6,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,4.2,4.2,0.02,0,15,20,50,15,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,5.2,5.2,0.02,0,15,20,50,15,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,6.2,6.2,0.04,0,5,20,45,25,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,7.2,7.2,0.09,0.34,5,20,45,25,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,8.2,8.2,0.12,0.3,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,9.2,9.2,0.3,0.64,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,10.2,10.2,0.33,0.7,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,11.2,11.2,0.35,0.76,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,12.2,12.2,0.32,0.68,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,13.2,13.2,0.2,0.59,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,14.2,14.2,0.08,0.22,0,20,45,25,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,2,riffle,47.77,30.68,us,right,22.1,22.1,3.6,3.6,11.35,14.95,14.95,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,1.6,1.6,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,2.2,2.2,0.66,0.04,100,0,0,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,3.2,3.2,0.89,0.19,5,30,40,15,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,4.2,4.2,0.78,0.56,5,30,40,15,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,5.2,5.2,0.6,0.41,5,30,40,15,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,6.2,6.2,0.42,0.42,10,40,40,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,7.2,7.2,0.28,0.08,40,30,30,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,8.2,8.2,0.14,0.09,90,5,5,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,3,glide,29.22,32.59,us,right,16.6,16.6,1.6,1.6,7.6,9.2,9.2,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,3.9,3.9,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,4.2,4.2,0.02,0,30,20,40,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,5.2,5.2,0.02,0,30,20,40,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,5.8,5.8,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,10,10,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,10.2,10.2,0.06,0,0,10,40,40,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,11.2,11.2,0.1,0.82,0,10,40,40,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,12.2,12.2,0.22,0.67,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,13.2,13.2,0.2,0.1,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,14.2,14.2,0.15,0.91,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,15.2,15.2,0.21,0.4,0,0,20,35,40,5,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,16.2,16.2,0.22,0.85,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,17.2,17.2,0.28,0.67,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,18.2,18.2,0.28,0.68,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,19.2,19.2,0.2,0.18,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,20.2,20.2,0.06,0.0005,0,0,20,40,40,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,21.2,21.2,0.02,0,10,0,30,30,30,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,4,riffle,23.77,37.22,us,right,26.6,26.6,3.9,3.9,13.5,21.6,21.6,0,0,999,999,999,999,999,999,999,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,3.9,3.9,0,0,999,999,999,999,999,999,999,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,4.2,4.2,0.02,0,10,20,30,30,10,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,5.2,5.2,0.1,0.3,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,6.2,6.2,0.14,0.49,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,7.2,7.2,0.1,0.4,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,8.2,8.2,0.08,0.07,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,9.2,9.2,0.12,0.28,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,10.2,10.2,0.33,0.53,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,11.2,11.2,0.64,0.79,0,20,30,30,20,0,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,12.2,12.2,0.58,0.6,0,0,10,20,20,50,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,13.2,13.2,0.18,0.06,20,0,0,5,5,70,0,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,5,riffle,133.45,43.78,us,right,16.24,16.24,3.9,3.9,10,13.9,13.9,0,0,999,999,999,999,999,999,999,"Same habitat unit as transect 6, and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,7.6,7.6,0,0,999,999,999,999,999,999,999,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,8.2,8.2,0.24,0.02,50,10,30,10,0,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,9.2,9.2,0.44,0.24,50,10,30,10,0,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,10.2,10.2,0.18,0.95,0,10,60,30,0,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,11.2,11.2,0.18,1.36,0,10,60,30,0,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,12.2,12.2,0.2,1.34,0,10,60,30,0,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,13.2,13.2,0.2,0.79,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,14.2,14.2,0.18,0.79,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,15.2,15.2,0.14,0.72,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,16.2,16.2,0.14,0.67,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,17.2,17.2,0.14,0.5,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,18.2,18.2,0.2,0.52,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,19.2,19.2,0.16,0.44,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,20.2,20.2,0.14,0.12,0,10,40,40,10,0,0,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,6,riffle,133.45,40.52,us,right,23.65,23.65,7.6,7.6,13.2,20.8,20.8,0,0,999,999,999,999,999,999,999,"Same habitat unit as transect 5 and 7, and *4"
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,2.4,2.4,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,3.2,3.2,0.09,0.01,5,10,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,4.2,4.2,0.09,0.4,5,10,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,5.2,5.2,0.08,0.01,5,10,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,6.2,6.2,0.06,0.39,0,45,45,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,7.2,7.2,0.01,0,0,45,45,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,8.1,8.1,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,17.8,17.8,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,18.2,18.2,0.02,0,0,10,40,40,10,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,19.2,19.2,0.12,0.81,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,20.2,20.2,0.18,1.11,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,21.2,21.2,0.14,0.74,10,20,40,30,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,22.2,22.2,0.07,0.96,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,23.2,23.2,0.11,0.06,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,24.2,24.2,0.25,0.43,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,25.2,25.2,0.38,0.59,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,26.2,26.2,0.6,0.78,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,27.2,27.2,0.12,0,0,15,40,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,7,riffle,133.45,46.73,us,right,30.95,30.95,2.4,2.4,15.31,27.41,27.41,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,3.15,3.15,0,0,999,999,999,999,999,999,999,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,3.2,3.2,0.2,0,20,30,5,40,5,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,4.2,4.2,0.39,0.15,30,50,10,10,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,5.2,5.2,0.4,0.21,30,60,10,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,6.2,6.2,0.42,0.22,50,50,0,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,7.2,7.2,0.48,0.27,30,60,10,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,8.2,8.2,0.58,0.3,30,60,10,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,9.2,9.2,0.66,0.3,30,60,10,0,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,10.2,10.2,0.63,0.24,25,40,30,5,0,0,0,
2024,10-Jul-24,JM EM JG,Deadman,1,8,glide,76.68,30.56,us,right,42.4,42.4,3.15,3.15,21.89,11.2,11.2,0.55,0.01,25,40,30,5,0,0,0,
